"authors"	"year"	"text"	"ar_id"	"wg"	"chapter"
"Lotze-Campen H, M von Lampe, P Kyle, S Fujimori, P Havlik, H van Meijl, T Hasegawa, A Popp, C Schmitz, A Tabeau, H Valin, D Willenbockel, and M Wise"	2013	" Impacts of increased bioenergy demand on global food markets: an AgMIP economic model intercomparison. Agricultural Economics, n / a &#8211; n / a"	5	3	"chapter11"
"Laganiere J, D A Angers, and D Pare"	2010	" Carbon accumulation in agricul-tural soils after afforestation: a meta-analysis: SOC accumulation following deforestation. Global Change Biology 16, 439 &#8211; 453"	5	3	"chapter11"
"Kim D-G, G Hernandez-Ramirez, and D Giltrap"	2013	" Linear and nonlin-ear dependency of direct nitrous oxide emissions on fertilizer nitrogen input: A meta-analysis. Agriculture, Ecosystems &amp; Environment 168, 53 &#8211; 65"	5	3	"chapter11"
"Van Kessel C, R Venterea, J Six, M A Adviento-Borbe, B Linquist, and K J van Groenigen"	2013	" Climate, duration, and N placement determine N 2 O emissions in reduced tillage systems: a meta-analysis"	5	3	"chapter11"
"Jeffery S, F G A Verheijen, M van der Velde, and A C Bastos"	2011	" A quan-titative review of the effects of biochar application to soils on crop productiv-ity using meta-analysis. Agriculture, Ecosystems &amp; Environment 144, 175 &#8211; 187"	5	3	"chapter11"
"Biederman L A, and W S Harpole"	2013	" Biochar and its effects on plant pro-ductivity and nutrient cycling: a meta-analysis. GCB Bioenergy 5, 202 &#8211; 214"	5	3	"chapter11"
"Benayas J M R, A C Newton, A Diaz, and J M Bullock"	2009	" Enhancement of Biodiversity and Ecosystem Services by Ecological Restoration: A Meta-Anal-ysis. Science 325, 1121 &#8211; 1124"	5	3	"chapter11"
"Akiyama H, X Yan, and K Yagi"	2010	" Evaluation of effectiveness of enhanced-efficiency fertilizers as mitigation options for N2O and NO emissions from agri-cultural soils: meta-analysis: Mitigation options for N2O and NO emissions. Global Change Biology 16, 1837 &#8211; 1846"	5	3	"chapter11"
"Feng J, C Chen, Y Zhang, Z Song, A Deng, C Zheng, and W Zhang"	2013	" Impacts of cropping practices on yield-scaled greenhouse gas emissions from rice fields in China: A meta-analysis"	5	3	"chapter11"
"Twardella D, and A Ndrepepa"	2011	" Relationship between noise annoyance from road traffic noise and cardiovascular diseases: A meta-analysis. Noise and Health 13, 251"	5	3	"chapter8"
"Heath G W, R C Brownson, J Kruger, R Miles, K E Powell, and L T Ramsey"	2006	" The effectiveness of urban design and land use and transport policies and practices to increase physical activity: a systematic review"	5	3	"chapter8"
"Ewing R, and R Cervero"	2010	" Travel and the Built Environment -- A Meta-Analysis. Journal of the American Planning Association 76, 265 &#8211; 294"	5	3	"chapter8"
